Fecha;Sigla Empresa;Nombre;Origen;Nombre;Ciudad Origen;Departamento Origen;Pais Origen;Continente Origen;Destino;Nombre;Ciudad Destino;Departamento Destino;Pais Destino;Continente Destino;Tipo de Equipo;Tipo Vuelo;Tr fico;N£mero de Vuelos;Horas Bloque;Sillas Ofrecidas;Pasajeros A Bordo;Pasajeros Tr nsito;Carga Ofrecida (Kg.);Carga + Correo A Bordo (Kg.);Carga Tr nsito (Kg.)
01-ene-22 00:00:00;1BB;ALLAS S.A.S;BMG;ALLAS S.A.S;GUAINIA (BARRANCO MINAS);GUAINIA;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;P28R;T;N;1;1,67;0;1;0;0;136;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;BMG;ALLAS S.A.S;GUAINIA (BARRANCO MINAS);GUAINIA;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;PA32;T;N;17;19,89;0;46;0;0;3.145;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;CPB;ALLAS S.A.S;CAPURGANA;CHOCO;COLOMBIA;SURAMERICA;EJA;BARRANCABERMEJA-YARIGUIES;BARRANCABERMEJA;SANTANDER;COLOMBIA;SURAMERICA;P28R;T;N;1;1,67;0;3;0;0;18;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;EJA;ALLAS S.A.S;BARRANCABERMEJA;SANTANDER;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;P28R;T;N;1;1;0;0;0;0;18;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;EYP;ALLAS S.A.S;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;PIM;LA PRIMAVERA;LA PRIMAVERA;VICHADA;COLOMBIA;SURAMERICA;P28R;T;N;2;2;0;4;0;0;14;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;EYP;ALLAS S.A.S;EL YOPAL;CASANARE;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;PA32;T;N;1;0,58;0;3;0;0;185;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;IDA;ALLAS S.A.S;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;9DI;SAN FELIPE;SAN FELIPE;GUAINIA;COLOMBIA;SURAMERICA;DC3;T;N;2;1,58;0;14;0;0;2.585;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;IDA;ALLAS S.A.S;PUERTO INIRIDA;GUAINIA;COLOMBIA;SURAMERICA;BMG;BARRANCO MINAS;GUAINIA (BARRANCO MINAS);GUAINIA;COLOMBIA;SURAMERICA;DC3;T;N;2;1,5;0;33;0;0;1.825;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;LMC;ALLAS S.A.S;LA MACARENA;META;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;P28R;T;N;1;1,08;0;3;0;0;39;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;LPD;ALLAS S.A.S;LA PEDRERA;AMAZONAS;COLOMBIA;SURAMERICA;TAR;TARAIRA;TARAIRA;VAUPES;COLOMBIA;SURAMERICA;DC3;T;N;2;0,42;0;12;0;0;3.250;0
01-ene-22 00:00:00;1BB;ALLAS S.A.S;LPD;ALLAS S.A.S;LA PEDRERA;AMAZONAS;COLOMBIA;SURAMERICA;VVC;VANGUARDIA;VILLAVICENCIO;META;COLOMBIA;SURAMERICA;DC3;T;N;1;2,42;0;5;0;0;1.675;0
